Date,GDP (in Billions of USD),Inflation Rate,CPI,Un-employment Rate,Balance of Trade (Services in Millions of USD),Balance of Trade (Goods in Millions of USD),Balance of Trade (Net in Millions of USD)
01/01/1970,1078.90,5.84,38.80,3.90,0.00,0.00,0.00
01/01/1971,1167.80,4.30,40.50,4.90,0.00,0.00,0.00
01/01/1972,1281.60,3.27,41.80,5.60,0.00,0.00,0.00
01/01/1973,1429.40,6.16,44.40,4.90,0.00,0.00,0.00
01/01/1974,1548.10,11.03,49.30,5.60,0.00,0.00,0.00
01/01/1975,1693.80,9.13,53.80,8.50,0.00,0.00,0.00
01/01/1976,1860.60,5.74,56.90,7.70,0.00,0.00,0.00
01/01/1977,2071.30,6.50,60.60,7.10,0.00,0.00,0.00
01/01/1978,2339.30,7.63,65.20,6.10,0.00,0.00,0.00
01/01/1979,2631.80,11.22,72.60,5.90,0.00,0.00,0.00
01/01/1980,2862.50,13.58,82.40,7.10,0.00,0.00,0.00
01/01/1981,3207.50,10.35,90.90,7.60,0.00,0.00,0.00
01/01/1982,3275.50,6.16,96.50,9.70,0.00,0.00,0.00
01/01/1983,3635.90,3.22,99.60,9.60,0.00,0.00,0.00
01/01/1984,4040.70,4.30,103.90,7.50,0.00,0.00,0.00
01/01/1985,4721.50,3.55,107.60,7.30,0.00,0.00,0.00
01/01/1986,5149.10,1.91,109.60,7.00,0.00,0.00,0.00
01/01/1987,5513.20,3.66,113.60,6.20,0.00,0.00,0.00
01/01/1988,5962.90,4.08,118.30,5.50,0.00,0.00,0.00
01/01/1989,6282.20,4.83,124.00,5.40,0.00,0.00,0.00
01/01/1990,6547.40,5.39,130.70,5.60,0.00,0.00,0.00
01/01/1991,6865.50,4.23,136.20,6.90,0.00,0.00,0.00
01/01/1992,7292.80,3.01,140.30,7.50,4926.00,-6952.00,-2026.00
01/01/1993,7534.70,2.96,144.50,6.90,5130.00,-9001.00,-3871.00
01/01/1994,7989.50,2.61,148.20,6.10,4836.00,-11043.00,-6207.00
01/01/1995,8423.70,2.80,152.40,5.60,6238.00,-15562.00,-9324.00
01/01/1996,8957.70,2.93,156.90,5.40,6542.00,-15007.00,-8465.00
01/01/1997,9545.00,2.34,160.50,4.90,7186.00,-18455.00,-11269.00
01/01/1998,10284.80,1.55,163.00,4.50,7240.00,-18016.00,-10776.00
01/01/1999,10833.20,2.19,166.60,4.20,6493.00,-22369.00,-15876.00
01/01/2000,12362.30,3.38,172.20,4.00,6228.00,-33360.00,-27131.00
01/01/2001,12638.40,2.83,177.10,4.20,5552.00,-40753.00,-35202.00
01/01/2002,12974.10,1.58,179.90,5.70,4129.00,-33806.00,-29678.00
01/01/2003,13398.90,2.27,184.00,6.00,3526.00,-44682.00,-41156.00
01/01/2004,14125.80,2.68,188.90,5.60,4222.00,-48867.00,-44645.00
01/01/2005,14992.10,3.39,195.30,5.30,4993.00,-61181.00,-56189.00
01/01/2006,15877.30,3.24,201.60,4.60,5904.00,-72871.00,-66967.00
01/01/2007,16691.50,2.85,207.30,4.60,7762.00,-65776.00,-58014.00
01/01/2008,17104.60,3.85,215.30,5.80,10311.00,-71650.00,-61339.00
01/01/2009,16358.20,-0.34,211.10,9.90,7822.00,-47164.00,-39343.00
01/01/2010,16654.50,1.64,216.70,9.80,11332.00,-49076.00,-37744.00
01/01/2011,17427.60,3.16,224.90,8.90,14486.00,-62609.00,-48123.00
01/01/2012,18120.70,2.07,229.60,8.20,16609.00,-66735.00,-50126.00
01/01/2013,18624.50,1.47,232.90,7.40,20629.00,-60764.00,-40135.00
01/01/2014,19485.40,1.62,236.70,6.20,22388.00,-59821.00,-37433.00
01/01/2015,20494.10,0.11,234.80,5.60,23237.00,-62102.00,-38865.00
01/01/2016,20580.50,1.26,236.90,4.90,21478.00,-61523.00,-40044.00
01/01/2017,21527.00,2.13,243.80,4.70,22786.00,-66402.00,-43616.00
01/01/2018,22353.00,2.44,249.20,4.10,26874.00,-73682.00,-46809.00
01/01/2019,22877.70,1.81,252.10,3.70,23370.00,-72244.00,-48874.00
01/01/2020,21437.20,2.29,255.70,3.50,22866.00,-67223.00,-44357.00
01/01/2021,22722.80,1.68,261.60,6.00,22551.00,-86378.00,-63828.00
01/01/2022,25464.50,4.70,271.80,3.60,20342.00,-107860.00,-87518.00
